gene	condition	cluster_v2
AAK1	PB+RA upregulated cluster	4
ABCA1	PB+RA upregulated cluster	4
ABCA10	PB+RA upregulated cluster	4
ABCA5	PB+RA upregulated cluster	4
ABCA9	PB+RA upregulated cluster	4
ABCB4	PB+RA upregulated cluster	4
ABCC3	PB+RA upregulated cluster	4
ABCC8	PB+RA upregulated cluster	4
ABCG1	PB+RA upregulated cluster	4
ABCG4	PB+RA upregulated cluster	4
ABHD4	PB+RA upregulated cluster	4
ABTB1	PB+RA upregulated cluster	4
ABTB2	PB+RA upregulated cluster	4
ACER2	PB+RA upregulated cluster	4
ACHE	PB+RA upregulated cluster	4
ACKR1	PB+RA upregulated cluster	4
ACOX2	PB+RA upregulated cluster	4
ACP2	PB+RA upregulated cluster	4
ACTA2	PB+RA upregulated cluster	4
ACTBL2	PB+RA upregulated cluster	4
ACTG1P1	PB+RA upregulated cluster	4
ADAM19	PB+RA upregulated cluster	4
ADAM21	PB+RA upregulated cluster	4
ADAM23	PB+RA upregulated cluster	4
ADAMTS12	PB+RA upregulated cluster	4
ADAMTS14	PB+RA upregulated cluster	4
ADAMTS15	PB+RA upregulated cluster	4
ADAMTS2	PB+RA upregulated cluster	4
ADAMTS6	PB+RA upregulated cluster	4
ADAMTS7	PB+RA upregulated cluster	4
ADD3-AS1	PB+RA upregulated cluster	4
ADGRB3	PB+RA upregulated cluster	4
ADGRG1	PB+RA upregulated cluster	4
ADGRG6	PB+RA upregulated cluster	4
ADORA2B	PB+RA upregulated cluster	4
ADRB3	PB+RA upregulated cluster	4
AGAP2	PB+RA upregulated cluster	4
AGAP4	PB+RA upregulated cluster	4
AHR	PB+RA upregulated cluster	4
AK3	PB+RA upregulated cluster	4
AK9	PB+RA upregulated cluster	4
AKAP3	PB+RA upregulated cluster	4
AKAP6	PB+RA upregulated cluster	4
AKAP7	PB+RA upregulated cluster	4
AKAP9	PB+RA upregulated cluster	4
AKR1B10	PB+RA upregulated cluster	4
AKR1C3	PB+RA upregulated cluster	4
ALDH3A2	PB+RA upregulated cluster	4
