gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
CDH23,1040.31816374444,6.79939025080869,0.157147038939108,0,0
CNTNAP2,2585.81333862008,-2.63784285537637,0.0655171816787586,0,0
DCX,2436.70207671468,3.53859805154641,0.0786164456585648,0,0
DPP6,1942.79936000219,2.48205129419436,0.0588156969823645,0,0
FLNB,11666.4891857176,2.57616213054184,0.0683476539983197,0,0
GABARAPL1,2007.91100977362,2.23038410898188,0.0485597765923358,0,0
GJA5,1340.69478389991,4.12481614430772,0.0838634526718632,0,0
H2AX,4198.58544898189,-2.10056245210402,0.053954355180557,0,0
ITGA3,1073.8722750566,2.95598586330695,0.0706916180423528,0,0
MYBL2,7964.15580938805,-2.43926111990994,0.0571474019886636,0,0
NAPB,1447.3395026248,2.30574934213694,0.0608879585793236,0,0
NUP210,3024.18862023595,-2.1672659166675,0.0567944485055892,0,0
PIK3R1,7292.68266585648,2.07650263183914,0.0523156692658114,0,0
STMN4,1202.83775124466,3.51076169745681,0.0916941515940185,0,0
TACC3,4126.33791741372,-2.12191418065165,0.0551809189050943,0,0
TAGLN3,1740.17700960139,3.30875994484272,0.0740290478871443,0,0
TMEM59L,1810.54194760496,3.71956492867368,0.0813313568231813,0,0
CORO2B,1344.47276299896,2.74872420825858,0.0742099120209714,7.93422417351144e-302,8.83475861720499e-299
PLK1,4016.40182562131,-2.57039001316152,0.0692082698904744,2.30628722173611e-301,2.43289025185563e-298
RAB6B,614.613098657807,4.52781306870071,0.123560987039632,1.07327617392081e-295,1.07558371769474e-292
PBK,1526.22004930062,-2.68411876440736,0.0752442751830527,2.01899858538271e-280,1.92698993556313e-277
VLDLR,1008.896453426,2.15325545985235,0.0604787310883211,8.07074165417794e-279,7.35281249884948e-276
KIF5C,2562.38809906837,1.96190842912588,0.05525745892539,4.07724979155512e-277,3.55305728574518e-274
ASIC4,1458.36884886659,3.91497784947776,0.110612042229989,1.0995056756782e-276,9.18224677400756e-274
SHC2,666.185736719262,3.83803363273948,0.109070542288706,7.6622427809431e-272,6.1429732823377e-269
CDC25A,1659.96409213708,-2.04478303577234,0.0592363181363394,1.9933082135271e-262,1.53661063552783e-259
NDRG4,5947.32716350236,1.53728181584978,0.0446199269570913,1.49917410092465e-260,1.1128869075864e-257
CACNA1H,2041.48610672671,2.37137765452857,0.0691123152256254,2.00306025387127e-259,1.43383345244078e-256
JPH4,2351.55386632946,2.43673204694237,0.0711833625192251,4.1515415886611e-258,2.86928786419084e-255
NGFR,7302.71085517035,2.52803312115757,0.0744704870625896,7.75900416940294e-252,5.1837906855781e-249
CTSB,78976.0078835427,2.2284448594863,0.0663692469713151,2.25696921876351e-247,1.45923980811861e-244
PDCD4,2361.46422433861,1.54039005819174,0.0459370166388319,3.8195192616057e-247,2.39233201751135e-244
CCNB1,4056.95991952351,-2.0913398756098,0.0623672118743364,4.35695046859553e-246,2.64625328006243e-243
FEN1,1830.38757192816,-2.08555645533749,0.0625014925796605,3.58554478137273e-245,2.11367864861923e-242
CCNA2,2965.63660218504,-3.04184536800631,0.0914361714281326,1.32686338936016e-244,7.59837797512733e-242
DLG2,1652.79467352473,2.15351116483227,0.064712896617115,5.36492947723014e-244,2.98692448644788e-241
SCN5A,839.39254823791,2.42924801728656,0.0731151954469359,5.06217485472581e-243,2.74219380035863e-240
KIF20A,2507.36993364359,-2.82630804394106,0.0851277299797487,7.7100760158545e-243,4.06665930488873e-240
CDC45,1297.35809296165,-2.07766945365343,0.0628057978707441,7.02837310649476e-241,3.61204313265319e-238
NCAPH2,2340.58465450087,-1.7538933687455,0.0531264433594269,1.17665825091039e-240,5.89594033074923e-238
TUBB4A,1642.54812964923,2.24539980248373,0.0681323735013425,1.75655871128658e-239,8.58700152446752e-237
MTURN,949.60579782664,2.12054745332251,0.0644183265299782,1.3944023927563e-238,6.65428741857489e-236
PTTG1,1535.72382232953,-2.65909904500208,0.0807515008333359,1.68147452593993e-238,7.8376264938172e-236
KDM5B,3346.77422179385,1.71684803684113,0.0521715176095814,1.35769639184002e-237,6.18461563219309e-235
HJURP,1509.85540158994,-2.10693085894966,0.0643277001938972,2.89685104063042e-236,1.29025745349679e-233
BTG2,1191.90967168131,2.07595306435206,0.0636219840758587,1.09028563990858e-234,4.7505641479756e-232
TUBB4B,10297.1683553476,-1.58748509839759,0.0485098405360562,6.60707651213941e-234,2.81756669218745e-231
POGLUT3,751.182951412211,-3.30727713387466,0.10181892969384,3.70637199347394e-233,1.54764195552496e-230
MOAP1,3770.9033580743,1.48843547191869,0.0458605425234748,4.52079883837935e-232,1.84919124729872e-229
E2F2,630.435167033965,-3.52023059764075,0.109343380404717,2.37388715742822e-228,9.51596405926675e-226
OR7E160P,497.83723176243,3.99545714004931,0.124137727085576,8.72915574627189e-228,3.43055820828485e-225
PIK3IP1,763.185588872263,2.986703468159,0.0930297514386263,1.95713273392284e-227,7.54361757423376e-225
GTSE1,2272.29659682697,-2.19720491729706,0.0688259538438382,9.54823940012208e-225,3.61085589238956e-222
MAPT,872.401065186957,2.36525976287408,0.074266434272402,1.13624540667236e-223,4.2173642010989e-221
WDR76,962.9533152267,-3.50913610440789,0.110665836013016,1.27678359873858e-222,4.65283157627589e-220
HNRNPD,12554.6170948689,-1.58729797540147,0.0499527789606953,5.10398616928214e-222,1.82677133555218e-219
PIMREG,886.966071160259,-2.33047197489047,0.0736025798335414,2.98311636883955e-221,1.04895791895879e-218
TPX2,6283.47233059131,-1.97015743739502,0.0621874391172013,6.43340573274087e-221,2.22318536381595e-218
SHCBP1,1046.5794110494,-2.10140368124454,0.0664882435047188,4.3782927523895e-220,1.48735799383293e-217
CDCA5,1520.84650905596,-2.11301925838146,0.0669916937435381,6.63398130654041e-220,2.21608145544982e-217
BIRC5,2364.11726952916,-2.71762988144744,0.0862469690613479,2.36821512666319e-219,7.78133373503448e-217
SH3BP5,2615.56310697667,1.58101347541996,0.0502417229902008,4.85561198437972e-218,1.56969404843424e-215
SPC24,1261.3587838365,-2.43980397638296,0.0778668161858449,8.96838810733223e-218,2.8532286164327e-215
ZBTB46,704.182557176248,2.1775916950415,0.0694213793040732,7.12278012693478e-217,2.2306544075649e-214
CDK1,2333.03458529808,-2.69611921964274,0.0860154508034593,1.52021620292826e-215,4.68764513158325e-213
CMIP,2298.76770415104,1.47444463710447,0.0473098981864608,8.47324964249149e-214,2.57317185734026e-211
H2AZ1,13311.7599388378,-1.56794038742257,0.0502082236165119,3.10006757270446e-213,9.27382900891277e-211
KIF11,2382.77548664513,-2.45451094324856,0.0791440714943725,1.04581963136889e-212,3.08255336345981e-210
INCENP,1619.21526725477,-1.87140482688723,0.0605089456984114,3.37274312724428e-211,9.79708557961697e-209
ZWINT,2021.37980009535,-1.62685142079849,0.0530060159912518,1.12097411489255e-206,3.20966916925591e-204
HID1,784.959440211935,2.70706402751954,0.0885438051015501,1.58359365157232e-206,4.47041796598085e-204
CDT1,1645.01659794785,-2.65545230813581,0.0871807025616963,2.10869498299579e-206,5.87007965891453e-204
SLCO4A1,746.061409962073,-2.79486198002728,0.0917008314348057,3.31492262070393e-205,9.10150603928341e-203
KIF5A,1763.32545468626,1.78020030202957,0.0585516986874957,8.47383853104473e-204,2.29515061726661e-201
CLIP3,2127.55558442213,2.13087027182118,0.0704409307197467,5.04057363589925e-202,1.34704289845772e-199
MAP1LC3B,5112.91888207143,1.29707473080744,0.042550837970291,9.48897927506977e-201,2.50246857381873e-198
WARS1,8619.97714080005,1.29518616096455,0.0428340146022351,3.13111545619712e-200,8.15025286864402e-198
ARRDC4,1057.26206122953,2.65759153014684,0.0885749382571573,3.6857620587915e-199,9.4709908903023e-197
SCUBE1,1727.89099363728,2.26332390459561,0.0760284649218086,8.60903119565385e-196,2.18418749689228e-193
CENPM,880.511224609382,-2.07199983271889,0.0698072008584637,2.28263926938366e-194,5.71886735953209e-192
NCAM2,1060.03673409227,2.01912095112602,0.0681899059966294,7.44284509420431e-194,1.84169066942145e-191
UBE2C,2500.22158585253,-2.42888166687725,0.0820195476744544,1.47376210450048e-192,3.60226998298819e-190
SLC6A17,540.090453128636,3.22663188681346,0.110015880469545,1.90515819276722e-190,4.60061272983534e-188
RUFY3,2719.29854064298,1.52960272731231,0.0522448253994432,2.23206119235111e-189,5.32585743789205e-187
KIF15,936.354110560866,-1.90315106426311,0.0651385113308456,1.08854728421032e-188,2.56679449616794e-186
TP53INP1,595.586746753635,2.9541434303195,0.101711438392453,1.5868854024885e-186,3.69836559559036e-184
SKA3,764.813146965646,-2.51756809281451,0.0867334277060236,2.03948142076452e-186,4.69854323176819e-184
DTYMK,2849.83233175808,-1.69915230225094,0.0585495207459442,1.56116813917811e-185,3.5557378424485e-183
SULT4A1,541.084518452502,2.63802776881509,0.0913188929839995,1.74102452659548e-184,3.9208263580397e-182
RANBP1,7631.48723719434,-1.47682466141154,0.0510639737710544,8.96091916395397e-184,1.99559669781255e-181
MTHFD1,6297.28015156368,-1.13338655335097,0.0392398451484321,1.21473666789242e-183,2.67549088291954e-181
RAD51AP1,905.549080603733,-2.11632870088294,0.0734567532245944,1.51782932390541e-183,3.30672316728654e-181
NCAPD2,5617.50133880001,-1.91295945300132,0.0666367045253765,9.71337686119235e-183,2.09338938095568e-180
NUF2,1240.72856387904,-2.45197227746858,0.0852797508277387,2.42118429709042e-182,5.1625315815514e-180
NCAPG,2457.52570270428,-2.4222620266271,0.0844993706077162,2.73240925004041e-182,5.76480827353263e-180
AURKA,1984.76482026285,-2.177548838295,0.0758793669783056,1.36325392816116e-181,2.84621859188897e-179
CHAF1A,3526.45683217557,-1.69578915172049,0.0592845622097292,2.82486349253654e-181,5.83698340009381e-179
CACNA1B,942.511906172467,2.37640904593371,0.0828771971530524,7.82594560036144e-181,1.60056558844943e-178
DHFR,1159.00704235542,-2.38134397431557,0.083502962375209,1.595369969765e-180,3.22989902060605e-178
TROAP,1532.5177497228,-2.48298222132139,0.0871755559067954,4.2878696083629e-180,8.59417705604177e-178
PLK2,8483.00512351351,1.81789514113676,0.0637568474814728,5.29157978962954e-180,1.05009043290639e-177
LMNB2,6679.75142530062,-1.39256529896609,0.0489239605404841,2.04760551444166e-179,4.02354483587786e-177
RGS4,17884.1436403232,1.60421762734082,0.0562144106279087,2.31904331638648e-178,4.51267817381886e-176
E2F1,3533.64788650459,-2.17174294966026,0.0768964510046914,1.56990087584629e-176,3.02553108217184e-174
GMNN,1352.74350299198,-2.55771453321925,0.0906918431981012,4.58903467935933e-176,8.7598116265142e-174
SEZ6L2,7829.72736633569,1.21266412029923,0.0427695741698609,4.86541812741296e-176,9.1997712762017e-174
SORCS2,446.160647397278,2.86915991523021,0.101755890666102,8.48307401284589e-176,1.58903039663056e-173
SNAP25,1861.93868461634,1.56226018385846,0.0554500860069214,1.38257287293992e-175,2.56582482336433e-173
GINS1,1140.94271667612,-2.0680488542853,0.0733957983920054,2.99929126897403e-175,5.51511879853637e-173
CYP26B1,2353.93271523432,7.47612034245736,0.266871149418727,3.32755651309957e-175,6.06311047200498e-173
RFC2,1621.76777840819,-1.81449817146363,0.064444370055216,1.41745208362999e-174,2.55945874884648e-172
EXOSC9,1052.86824294247,-1.849017589307,0.0658908609121832,3.7167865369446e-174,6.65138862142684e-172
ESPL1,2390.86417712019,-2.5109194914547,0.0898693835212668,2.78896606668802e-172,4.94683600660425e-170
SYT17,386.967251354578,3.55365658552697,0.127732477269837,1.7148094814265e-171,3.01490582773959e-169
CDCA3,716.606563605451,-3.06811554096242,0.110277884148776,7.24981820636003e-171,1.26354875052238e-168
CASP3,4587.7071631426,-1.45604412500403,0.0526460576728059,1.49534998053286e-169,2.58373272929484e-167
KIF18B,1456.63107098404,-2.33936703592133,0.0846347241968761,3.07856801204782e-169,5.27382381756192e-167
USP1,1514.26765045011,-2.38142311377338,0.0862821445573648,1.94316743869642e-168,3.30058516727054e-166
PPP2R5B,1071.21068589302,1.58764840795149,0.0575441226264763,3.3321405929434e-168,5.6122767986861e-166
FAM83D,1572.32218856385,-1.90945969983072,0.0693808807560987,1.02918247719727e-167,1.71899203253875e-165
SYNGR1,3113.9821103962,1.3928933898433,0.0505809943369117,1.65193141640109e-167,2.73633565115099e-165
SERINC1,8851.66297606516,1.23589256080884,0.0449655756425188,5.57143544710198e-167,9.15313775952992e-165
TIMELESS,3249.04505271421,-1.75197540714186,0.0637958855099227,5.9837060327397e-167,9.75052195237413e-165
DYNC2I2,2312.01932702716,-2.2674250275567,0.0825621132422816,1.16400753927579e-166,1.88146799271812e-164
SKP2,3794.39518106721,-1.39207247095779,0.0504280018414117,1.66581341422622e-166,2.67103186090689e-164
ATP9A,416.783185767098,3.47794585959761,0.126835387697273,8.21663273159543e-166,1.30703150666164e-163
PTN,17438.0896194082,-1.36216136428642,0.0497580955965004,1.66378344885023e-165,2.62576469805553e-163
SLC18A2,1844.45885640672,1.85987610207598,0.0681231037068351,1.99271218958758e-165,3.1203070637425e-163
MRPL11,1271.35577580524,-1.57399657191277,0.057657400913473,5.2328965284273e-165,8.13046086195878e-163
SMCO4,564.093236969559,-2.23051409813397,0.0816691415247109,9.70216562212534e-165,1.49585004280199e-162
CDCA7,871.38712137126,-2.23120080313878,0.0820302571100712,7.42978562819126e-164,1.13675720111326e-161
SIVA1,1177.27973070306,-1.89140519967974,0.0693818949205745,8.96424502380079e-164,1.36113911372757e-161
KIF2C,1328.25554072147,-2.69309672922298,0.0995207748010371,1.22927797296858e-162,1.85251266257212e-160
CADPS,836.936070740702,2.59271165617359,0.0957136055903697,1.72114372218879e-162,2.57439430028581e-160
PLXNA3,3832.12267364578,1.57940055320579,0.0585403542388978,4.42181046629301e-162,6.56491460562302e-160
TUBG1,2801.23105132184,-1.42893350345877,0.0527674773431072,5.35097843851901e-162,7.88600447376739e-160
EXOSC8,1218.6677621219,-1.62920906610256,0.0603599890354413,4.41684099965787e-161,6.46180614278414e-159
KCTD13,892.094245627675,2.04420396889963,0.0758623557654598,4.92536332356249e-161,7.15355486189587e-159
SPAG5,1601.77046068243,-2.17959302223747,0.081120602855099,1.9389202436205e-160,2.79581139876876e-158
C21orf58,851.474037947379,-2.00032192085268,0.0744109638320909,5.71120094413093e-160,8.17640003737259e-158
DDX11,1248.10142948034,-1.64378770912288,0.0614094304902993,1.11693852803859e-159,1.58771623528208e-157
DCLK1,3557.0549060412,1.90975406560067,0.0716990940724432,2.51629222325778e-159,3.55169331202504e-157
PNP,1846.24633456383,-1.58289040972675,0.0589797203774146,3.32126080817324e-159,4.65510701945568e-157
SYT11,10670.1847543437,1.11959241789175,0.0415334858018857,1.5532827570616e-158,2.16197543748511e-156
NCAPH,1209.01193378577,-1.94116303863137,0.072654212861727,2.86873017279658e-158,3.96537647264564e-156
DYNC1I1,1016.64207035933,1.58746659218535,0.05956687540481,2.93043360654901e-157,4.02292334082615e-155
CRNDE,491.809449288467,-2.30528302285789,0.0869178849604822,2.63949202149593e-156,3.59886657053354e-154
HDAC9,538.33126220391,-2.50217404586442,0.0942752120150918,2.83492229131796e-156,3.8392126678977e-154
PRR11,2365.04835416843,-1.71336548534809,0.0646029885179947,4.34524833243321e-156,5.84508807563482e-154
CDCA8,1049.07566474814,-1.96650019268366,0.0744278101616587,9.95613225291713e-155,1.33033839163479e-152
SSRP1,5572.5289653993,-1.27303609585001,0.0482427424417835,1.95128604843082e-154,2.59004147474827e-152
SOX8,214.73258454729,4.69941898004428,0.178294295081877,7.57594733706122e-154,9.98978371557356e-152
CDKN3,667.248215702685,-2.51379749802514,0.0954993963940618,8.73818329462893e-154,1.14470201159639e-151
CDC6,2221.84836092077,-2.3995580636906,0.0912054225630729,9.08685619927682e-154,1.18264843377991e-151
TMPO,5941.41628420325,-2.19212860292685,0.0836066546096878,3.76701770382312e-153,4.87111844114366e-151
MTFP1,890.933324006273,-1.86431268882821,0.0710464204094786,1.13951364190759e-152,1.46405589261243e-150
GLE1,711.432183588601,-1.99858227263245,0.0761064831521132,1.43105048227693e-152,1.82691368256539e-150
PLEKHA6,12638.5979132613,1.49028204156808,0.0568970942821384,3.18619691262709e-152,4.04183194429018e-150
SLBP,2081.69181132193,-1.65669162970204,0.0632675652127404,4.9116888496022e-152,6.19150815173439e-150
