gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
TAGLN3,1740.17700960139,2.99612025487746,0.0744989528369241,0,0
DCX,2436.70207671468,2.73184899026675,0.0792037510146856,4.37601977215695e-262,4.21520104553018e-258
NAPB,1447.3395026248,2.00962010820426,0.0614680219031771,1.16708066413679e-235,7.49460299819843e-232
CLU,3962.67465887871,1.79836381380102,0.0575943587197531,9.94564652672684e-215,4.79007200843481e-211
KIF5C,2562.38809906837,1.73238362703372,0.0555824051314695,2.35161772539405e-214,9.06078309594326e-211
NSMF,10123.9563017765,1.43990235692496,0.0464065672390541,7.91501579106384e-211,2.54137965358075e-207
CADPS,836.936070740702,2.91218674209596,0.0952137013240353,8.5478093333792e-206,2.35247924010786e-202
SLC18A2,1844.45885640672,2.04540887397476,0.0679938096565274,5.45641687043942e-200,1.31397338761269e-196
JPH4,2351.55386632946,2.13750663576425,0.0715385622679723,1.32185636467838e-197,2.82950698505877e-194
TMEM59L,1810.54194760496,2.44633299581521,0.082695341395244,1.47462248559551e-193,2.84086021849974e-190
STMN4,1202.83775124466,2.7378409248404,0.0927212574540482,9.21645414199353e-193,1.61413626405005e-189
MOAP1,3770.9033580743,1.35938602703124,0.0460517495206561,1.83407322249462e-192,2.9444517192799e-189
ASIC4,1458.36884886659,3.26992047465186,0.111066051738321,2.81936767317035e-192,4.17808601720206e-189
SNAP25,1861.93868461634,1.62901512169469,0.0555198345227217,3.33790526637356e-190,4.59319606833475e-187
GABARAPL1,2007.91100977362,1.45449140227954,0.0498619920178062,3.70741278694496e-188,4.76155382269965e-185
MTURN,949.60579782664,1.89724328199792,0.0650882346211957,1.35554486995446e-187,1.63216074497954e-184
ARRDC4,1057.26206122953,2.57056064712656,0.0888521888531384,1.74956261398831e-185,1.98266610344028e-182
SULT4A1,541.084518452502,2.58554642527432,0.0916341438645483,5.32497831489171e-176,5.69920595757716e-173
PDCD4,2361.46422433861,1.29649195754675,0.0463823599206715,5.43215218171587e-173,5.50791640951348e-170
SPTBN4,707.797313714706,1.9782557591577,0.0719797226062709,1.49824072030055e-167,1.44318037382951e-164
CHGB,29191.6096533663,2.12608902695882,0.0777888397243379,1.54639440727595e-165,1.41863277410339e-162
VLDLR,1008.896453426,1.67646671484491,0.0618031686695288,6.45709972200122e-163,5.65436482474334e-160
SHC2,666.185736719262,2.99789807039026,0.110761194792998,3.69156937558786e-162,3.09209060959566e-159
TSPAN7,2725.17542640974,1.66258718423959,0.0622986774565605,3.29956653341197e-158,2.64858955275757e-155
POGLUT3,751.182951412211,-2.49470168224501,0.0941975965113353,1.9745875033417e-155,1.52161713007512e-152
PIK3IP1,763.185588872263,2.46980466264309,0.0940640281769751,3.06838888214243e-153,2.27355814671053e-150
SYBU,1337.35498556385,1.72677460513351,0.0659763450375967,4.18612599264219e-152,2.98687841660192e-149
TUBB4A,1642.54812964923,1.79833123776548,0.0688452041462066,9.03828581708332e-152,6.21866343807536e-149
SYNGR1,3113.9821103962,1.32399419877768,0.0507508778769255,8.2991831513361e-151,5.51323322105138e-148
TP53INP1,595.586746753635,2.5890233673003,0.102756941147316,6.01358673018793e-141,3.86172494523569e-138
RUNDC3A,2985.80203987369,1.65085610692061,0.0658046623072506,4.48586724830877e-139,2.78774943673124e-136
CACNA1H,2041.48610672671,1.69712721350957,0.0699840170452127,6.0812633889784e-131,3.6611105996459e-128
KDM5B,3346.77422179385,1.27538654760308,0.0526555966927314,5.05460399412059e-130,2.9508165438404e-127
FAM214A,1179.14681788486,1.36693703803969,0.056676332104311,1.80679161342552e-129,1.02376001272478e-126
SEZ6L2,7829.72736633569,1.0372978499137,0.0429046922812274,7.932348316567e-129,4.36619115196181e-126
H2AX,4198.58544898189,-1.2711347648204,0.0527782063387712,3.1940004724117e-127,1.70923386391698e-124
HID1,784.959440211935,2.13488219125582,0.0898843415415015,2.81126614796713e-126,1.46375790109694e-123
RAB6B,614.613098657807,2.99149078111712,0.126444969843476,6.06313952261849e-125,3.07385218166435e-122
ITGB5,4055.20550288494,-1.49384452287662,0.0632209187818448,9.63217057556174e-125,4.75804528559479e-122
MAPT,872.401065186957,1.75558372627898,0.0757539669597639,5.69598742885032e-120,2.74332994542003e-117
SNAP91,1390.13410234638,1.70578352679701,0.0737257260546943,1.12107187291721e-119,5.26767064189026e-117
CNTN1,4228.41818361964,1.89339323497359,0.0824967318967097,1.72169715697936e-117,7.89726088790652e-115
PIK3R1,7292.68266585648,1.20579244149485,0.05275325317119,1.39168866467168e-116,6.23508886625578e-114
BTG2,1191.90967168131,1.48226430714977,0.0649029587016177,2.09731843126415e-116,9.18291808597817e-114
STX1A,2496.03855168027,1.65460538624246,0.0730264563566879,7.18570793984799e-115,3.07628141024826e-112
NSG1,1925.73247511278,2.30615491965188,0.103125644329517,1.57304703342191e-112,6.58798936932023e-110
MAP1LC3B,5112.91888207143,0.96364201165176,0.0428542517780769,3.84493732545187e-110,1.57601526754958e-107
GACAT3,252.105463372784,3.15527054661874,0.142801726131699,1.42588958446696e-109,5.72286725932417e-107
NUP210,3024.18862023595,-1.2146392352388,0.0548641746864718,2.75840005064074e-109,1.08450157093049e-106
