gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
GJA5,1340.69478389991,4.00066049700036,0.08389842264038,0,0
ITGA3,1073.8722750566,2.3869298928199,0.0714421477870752,7.90766088088544e-246,7.15643309720133e-242
DUSP6,3627.70963702917,1.8928102750948,0.0586089046495351,5.77456527005505e-229,3.48398771293321e-225
CORO2B,1344.47276299896,2.3374102875258,0.0746010982694831,6.29096747464183e-217,2.84666278227543e-213
CDH23,1040.31816374444,4.91656913349428,0.158543854634013,3.06791256948765e-212,1.11058435015453e-208
NREP,11604.2697811304,1.31259074227062,0.04250859554787,1.70505032478336e-210,5.14356847976314e-207
SLIT2,1008.69833623153,3.16369531221487,0.105691812097902,2.02240394092653e-198,5.2293587615386e-195
DPP6,1942.79936000219,1.78106902946112,0.0595349911448693,9.66234795155741e-198,2.18610622403986e-194
TAGLN3,1740.17700960139,2.22828100965093,0.075352214294518,2.15849082238548e-193,4.3409648761308e-190
HGF,1690.82369833236,2.46779946134065,0.0843467249389872,4.17509079085868e-189,7.55691433145422e-186
NCAM2,1060.03673409227,1.96587654230909,0.068173596477156,1.56113104042648e-183,2.56877016651994e-180
LINC02458,525.667233349415,3.91981294002833,0.137882947137841,8.82630690624903e-180,1.33130129169256e-176
DCX,2436.70207671468,2.22615203654714,0.0796119804855504,1.04624990855313e-173,1.45670179575474e-170
DLG2,1652.79467352473,1.7904989516525,0.0650130458132366,1.71407734954115e-168,2.21605714476392e-165
PRKCH,1450.08502988101,2.41023557194027,0.0894723819654232,3.65660875341687e-161,4.41230789578968e-158
ROR1-AS1,520.953174218812,2.20650302747415,0.084218014294873,1.5488339350995e-151,1.75211838908131e-148
FLNB,11666.4891857176,1.78369483285541,0.0684812271721745,1.03560264199109e-150,1.10261222470816e-147
ARHGEF2,1062.15486999589,1.71005908374919,0.066472230564918,3.49112835432403e-147,3.51052351184805e-144
CYP26B1,2353.93271523432,6.8029186388776,0.266519134528264,1.74181124911621e-145,1.65930440047387e-142
SYT4,2539.91147418399,1.73729836537478,0.0684210790860162,9.66987033507512e-144,8.75123265324298e-141
CRLF1,771.354574034004,2.79140979632758,0.114448336350018,1.90364788822372e-132,1.64076317984997e-129
THSD4,1059.94166980789,1.75918663454081,0.0725617590476659,3.62432926345697e-131,2.98183453038959e-128
PIK3R1,7292.68266585648,1.26652223266065,0.0526554136990539,5.29288862244198e-129,4.16527322026955e-126
DOK4,29729.8320279997,-1.68800506326032,0.0703706942169241,2.34768346719078e-128,1.77054461483971e-125
SH3BP5,2615.56310697667,1.21072762163822,0.0505773742708095,9.67618710368886e-128,7.00555946307073e-125
WARS1,8619.97714080005,1.01857231556084,0.0429429649438973,4.54461644362932e-124,3.16375221652657e-121
TMEM59L,1810.54194760496,1.93177746194953,0.0833285318070021,3.01960028987306e-120,2.02425056469268e-117
SNX3,4999.67489603731,-0.984675447875684,0.0427649218045833,2.09142805664787e-117,1.35195885090452e-114
SLC6A17,540.090453128636,2.53786703092479,0.111122716753554,9.19078251573187e-117,5.73631598395679e-114
CFI,260.736580282556,3.69895483297262,0.162053292548373,2.54855001320784e-116,1.53762517463539e-113
CTSB,78976.0078835427,1.49518431360045,0.0664108046156081,1.91547333015426e-113,1.11838926696103e-110
KDM5B,3346.77422179385,1.15569575515486,0.0525815544034214,1.05598906269224e-107,5.97293813585299e-105
PLK2,8483.00512351351,1.39761138034658,0.0639245679951171,3.28947677719638e-107,1.80422817173498e-104
HIC1,491.520882426439,3.05239642632237,0.139985237628467,2.13274921198815e-106,1.13537531579369e-103
SMAD3,2229.04198662024,1.43610017632412,0.0661760315342044,9.64345570570669e-106,4.98704423637975e-103
ITGA1,15233.7549749914,1.48067830024696,0.0686816816569404,2.65361995956516e-104,1.33418114633693e-101
